Различия между файлами:

id_r_visit id_tarif            code prvs sub_hosp purpose vid_fin    tarif tarif_1 tarif_3 tarif_4 tarif_6     d_from       d_to                                                       comment     _merge
     21910    16271 B04.001.001.004    2      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21911    16272 B04.015.003.003   25      181     700       1  4456.20    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31 Диспансерное наблюдение (болезни сердечно-сосудистой системы) right_only
     21912    16273 B04.023.001.004   35      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21913    16274 B04.027.001.001   41      181     700       1  6280.41    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                           Диспансерное наблюдение (онкология) right_only
     21914    16275 B04.027.001.004   41      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21915    16276 B04.028.001.004   45      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21916    16277 B04.029.001.004   46      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21917    16278 B04.053.001.004   84      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21918    16279 B04.057.001.004   90      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21919    16280 B04.058.002.004   92      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21936    16297     B04.028.001   45      181     341       1   621.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21937    16298     B04.028.001   45      181     342       1   621.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21938    16299     B04.029.001   46      181     340       1   581.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21939    16300     B04.029.001   46      181     341       1   581.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21940    16301     B04.029.001   46      181     342       1   581.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21941    16302     B04.037.001   55      181     340       1   741.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21942    16303     B04.037.001   55      181     341       1   741.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21943    16304     B04.037.001   55      181     342       1   741.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21944    16305     B04.053.001   84      181     340       1   641.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21945    16306     B04.053.001   84      181     341       1   641.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21946    16307     B04.053.001   84      181     342       1   641.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21947    16308     B04.057.001   90      181     340       1   671.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21948    16309     B04.057.001   90      181     341       1   671.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21949    16310     B04.057.001   90      181     342       1   671.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21950    16311     B04.058.002   92      181     340       1   815.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21951    16312     B04.058.002   92      181     341       1   815.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21952    16313     B04.058.002   92      181     342       1   815.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21956    16317     B04.064.002   68      420     501       1   559.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21957    16318     B04.064.002   69      420     501       1   559.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21958    16319     B04.065.004  208      420     501       1   559.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21959    16320     B04.064.002   68      420     502       1   559.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21960    16321     B04.064.002   69      420     502       1   559.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21961    16322     B04.065.004  208      420     502       1   559.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21962    16323     B04.064.002   68      420     501       1   559.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21963    16324     B04.064.002   69      420     501       1   559.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21964    16325     B04.065.004  208      420     501       1   559.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21965    16326     B05.023.002  104      213     800       1 13092.00    0.00    0.00    0.00    0.00 2024-10-01 2024-12-31                                                          None right_only
     21966    16327     B05.050.003  104      213     800       1 12267.00    0.00    0.00    0.00    0.00 2024-10-01 2024-12-31                                                          None right_only
     21967    16328     B05.037.001  104      213     800       1  9946.00    0.00    0.00    0.00    0.00 2024-10-01 2024-12-31                                                          None right_only
